Facility Name,Instrument Name,Instrument Category,Workflow,Current Status,Creation Date,Creation Time,Institution Name,Latitude,Longitude,Description ,Tags
Monash Micro Imaging,AMREP Olympus BX51 Widefield,AMREP Campus,Instrument reservation,Active,27-09-13,5:59 PM,Monash University,44.968046,-94.420307,"Stochastic super-resolution inverted microscope utilise special photoswitchable dyes that allow the capture of images with a higher resolution up to approximately 20 nm in xy than conventional light microscopy. This technique enable molecular precise nanoscale localisation details in biological samples. The system can be also used for epifluorescence and confocal microscopy. The N-STORM is being used for a variety of different fields of study including cell biology, microbiology, and neurobiology. However, because of the need for successive image capture, STORM is most suited to the study of fixed specimens.",
Monash Micro Imaging,AMREP Olympus BX61 Widefield,AMREP Campus,Instrument reservation,Active,27-09-13,5:59 PM,Monash University,44.33328,-89.132008,"Tabletop plasma instrument with four times the capacity of the basic plasma cleaner, used for nanoscale surface cleaning and surface activation. The plasma instrument is integrated with PlasmaFlo gas mixer that allows quantitative control of up to two process gases and monitoring of chamber pressure.
Plasma Cleaner
Larger, tabletop unit 
Adjustable RF power (Low, Medium, and High power settings)
6"" diameter x 6.5"" length Pyrex chamber
Hinged door with viewing window
Active fan cooling
Integral switch for a vacuum pump
1/8"" NPT metering valve to qualitatively control gas flow and chamber pressure 
1/8"" NPT 3-way valve to quickly switch from introducing gas, venting and isolating the chamber
Plasma Flowmeters
Dual process gas flowmeters 
49 mL/min maximum flowrate for atmospheric air (0 psig) * 
± 2% full scale accuracy 
Thermocouple vacuum gauge and digital meter (1 to 1999 mTorr pressure range)",
Monash Micro Imaging,AMREP Olympus IX51 Widefield (Burnet),AMREP Campus,Instrument reservation,Active,27-09-13,5:59 PM,Monash University,33.755787,-116.359998,"This ia a place holder for the description o fthe equipment or the Service. Generaly, description will provide basic information regarding the capabilities and constrains, and some applications of the equipment. ",
Monash Micro Imaging,AMREP Olympus IX81 (ACBD) Widefield,AMREP Campus,Instrument reservation,Active,27-09-13,5:59 PM,Monash University,33.844843,-116.54911,"Stochastic super-resolution inverted microscope utilise special photoswitchable dyes that allow the capture of images with a higher resolution up to approximately 20 nm in xy than conventional light microscopy. This technique enable molecular precise nanoscale localisation details in biological samples. The system can be also used for epifluorescence and confocal microscopy. The N-STORM is being used for a variety of different fields of study including cell biology, microbiology, and neurobiology. However, because of the need for successive image capture, STORM is most suited to the study of fixed specimens.",
Monash Micro Imaging,"AMREP Zeiss 510 Meta Confocal, BakerIDI",AMREP Campus,Instrument reservation,Active,27-09-13,5:59 PM,Monash University,44.92057,-93.44786,"Tabletop plasma instrument with four times the capacity of the basic plasma cleaner, used for nanoscale surface cleaning and surface activation. The plasma instrument is integrated with PlasmaFlo gas mixer that allows quantitative control of up to two process gases and monitoring of chamber pressure.
Plasma Cleaner
Larger, tabletop unit 
Adjustable RF power (Low, Medium, and High power settings)
6"" diameter x 6.5"" length Pyrex chamber
Hinged door with viewing window
Active fan cooling
Integral switch for a vacuum pump
1/8"" NPT metering valve to qualitatively control gas flow and chamber pressure 
1/8"" NPT 3-way valve to quickly switch from introducing gas, venting and isolating the chamber
Plasma Flowmeters
Dual process gas flowmeters 
49 mL/min maximum flowrate for atmospheric air (0 psig) * 
± 2% full scale accuracy 
Thermocouple vacuum gauge and digital meter (1 to 1999 mTorr pressure range)",
Monash Micro Imaging,AMREP Imaging PC ACBD,AMREP Campus,Instrument reservation,Active,27-09-13,5:59 PM,Monash University,44.240309,-91.493619,"This ia a place holder for the description o fthe equipment or the Service. Generaly, description will provide basic information regarding the capabilities and constrains, and some applications of the equipment. ",
Monash Micro Imaging,AMREP Imaging PC BakerIDI,AMREP Campus,Instrument reservation,Active,27-09-13,5:59 PM,Monash University,44.968041,-94.419696,"Stochastic super-resolution inverted microscope utilise special photoswitchable dyes that allow the capture of images with a higher resolution up to approximately 20 nm in xy than conventional light microscopy. This technique enable molecular precise nanoscale localisation details in biological samples. The system can be also used for epifluorescence and confocal microscopy. The N-STORM is being used for a variety of different fields of study including cell biology, microbiology, and neurobiology. However, because of the need for successive image capture, STORM is most suited to the study of fixed specimens.",
Monash Micro Imaging,AMREP Imaging PC Burnet,AMREP Campus,Instrument reservation,Active,27-09-13,5:59 PM,Monash University,44.333304,-89.132027,"Tabletop plasma instrument with four times the capacity of the basic plasma cleaner, used for nanoscale surface cleaning and surface activation. The plasma instrument is integrated with PlasmaFlo gas mixer that allows quantitative control of up to two process gases and monitoring of chamber pressure.
Plasma Cleaner
Larger, tabletop unit 
Adjustable RF power (Low, Medium, and High power settings)
6"" diameter x 6.5"" length Pyrex chamber
Hinged door with viewing window
Active fan cooling
Integral switch for a vacuum pump
1/8"" NPT metering valve to qualitatively control gas flow and chamber pressure 
1/8"" NPT 3-way valve to quickly switch from introducing gas, venting and isolating the chamber
Plasma Flowmeters
Dual process gas flowmeters 
49 mL/min maximum flowrate for atmospheric air (0 psig) * 
± 2% full scale accuracy 
Thermocouple vacuum gauge and digital meter (1 to 1999 mTorr pressure range)",
Monash Micro Imaging,Other - Fume Hood (Econocare),Clayton Campus,Instrument reservation,Inactive,27-09-13,5:59 PM,Monash University,33.755783,-116.360066,"This ia a place holder for the description o fthe equipment or the Service. Generaly, description will provide basic information regarding the capabilities and constrains, and some applications of the equipment. ",
Monash Micro Imaging,Other - Heraeus Labofuge 400 centrifuge,Clayton Campus,Instrument reservation,Inactive,27-09-13,5:59 PM,Monash University,33.844847,-116.549069,"Stochastic super-resolution inverted microscope utilise special photoswitchable dyes that allow the capture of images with a higher resolution up to approximately 20 nm in xy than conventional light microscopy. This technique enable molecular precise nanoscale localisation details in biological samples. The system can be also used for epifluorescence and confocal microscopy. The N-STORM is being used for a variety of different fields of study including cell biology, microbiology, and neurobiology. However, because of the need for successive image capture, STORM is most suited to the study of fixed specimens.",
Monash Micro Imaging,Other - Live Cell Preparation Hood: ClassII Biohaz,Clayton Campus,Instrument reservation,Inactive,27-09-13,5:59 PM,Monash University,44.920474,-93.447851,"Tabletop plasma instrument with four times the capacity of the basic plasma cleaner, used for nanoscale surface cleaning and surface activation. The plasma instrument is integrated with PlasmaFlo gas mixer that allows quantitative control of up to two process gases and monitoring of chamber pressure.
Plasma Cleaner
Larger, tabletop unit 
Adjustable RF power (Low, Medium, and High power settings)
6"" diameter x 6.5"" length Pyrex chamber
Hinged door with viewing window
Active fan cooling
Integral switch for a vacuum pump
1/8"" NPT metering valve to qualitatively control gas flow and chamber pressure 
1/8"" NPT 3-way valve to quickly switch from introducing gas, venting and isolating the chamber
Plasma Flowmeters
Dual process gas flowmeters 
49 mL/min maximum flowrate for atmospheric air (0 psig) * 
± 2% full scale accuracy 
Thermocouple vacuum gauge and digital meter (1 to 1999 mTorr pressure range)",
